person_id,home_geography_id,destination_geography_id,age_years,sex,employed,income_monthly_inr,permitted_modes,purpose,initial_mode,departure_s,activity_duration_s,source
baseline_21,27:518:99999:802794:1978:000000,27:518:99999:802794:2284:000000,56,female,False,30418.45733058471,"walk,pt,taxi,auto_rickshaw",other,taxi,42206.33820205829,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_22,27:518:99999:802794:2385:000000,27:518:99999:802794:1564:000000,33,female,True,37877.59344613387,"walk,pt,taxi,auto_rickshaw",work,taxi,29087.652569214042,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_23,27:517:04166:552659:0000:000000,27:517:04168:552984:0000:000000,39,female,False,15536.622134912606,"walk,pt,taxi,auto_rickshaw",other,walk,41620.881873027894,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_24,27:517:04166:552607:0000:000000,27:517:04166:552607:0000:000000,5,male,False,41570.24081679129,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_25,27:518:99999:802794:2180:000000,27:519:99999:802794:0933:000000,11,male,False,18637.332470065136,"walk,pt",education,pt,31913.91359815342,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_26,27:518:99999:802794:2080:000000,27:518:99999:802794:2283:000000,20,male,False,46121.11251195179,"walk,pt,taxi,auto_rickshaw",other,taxi,37662.197794349144,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_27,27:518:99999:802794:2080:000000,27:518:99999:802794:2487:000000,30,female,True,52700.4762105804,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,33558.05144198223,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_28,27:518:99999:802794:2384:000000,27:518:99999:802794:2384:000000,22,male,False,137156.98471651538,"walk,pt,taxi,auto_rickshaw",other,taxi,36800.417569291465,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_29,27:520:04176:553960:0000:000000,27:519:99999:802794:0525:000000,23,female,True,140041.66024495868,"walk,pt,taxi,auto_rickshaw",work,pt,35023.04620607513,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_30,27:518:99999:802794:1667:000000,27:518:99999:802794:1352:000000,50,male,True,8933.054720781169,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,34982.948745919624,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_31,27:517:04163:552239:0000:000000,27:517:04163:552342:0000:000000,31,female,False,42812.79429782069,"walk,pt,motorbike,taxi,auto_rickshaw",other,motorbike,39529.8303211509,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_32,27:520:04177:554009:0000:000000,27:519:99999:802794:0417:000000,59,male,False,26115.225436179782,"walk,pt,taxi,auto_rickshaw",other,walk,40543.78104116398,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_33,27:519:99999:802794:0628:000000,27:519:99999:802794:0527:000000,39,male,True,19480.30199858702,"walk,pt,motorbike,taxi,auto_rickshaw",work,taxi,29995.846012961032,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_34,27:520:04181:554621:0000:000000,27:520:04181:554628:0000:000000,10,female,False,38128.74075801275,"walk,pt",education,walk,28979.45478075974,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_35,27:518:99999:802794:2385:000000,27:518:99999:802794:1460:000000,28,male,True,26533.2661868852,"walk,pt,taxi,ride,auto_rickshaw",work,walk,31677.40899559574,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_36,27:518:99999:802794:1772:000000,27:518:99999:802794:2385:000000,55,male,False,32483.158798994922,"walk,pt,bike,motorbike,taxi,auto_rickshaw",other,auto_rickshaw,40911.814277773425,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_37,27:517:04159:551795:0000:000000,27:517:04159:551795:0000:000000,3,female,False,16175.563882029594,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_38,27:517:04167:552851:0000:000000,27:517:04167:552870:0000:000000,53,female,False,21828.82427428523,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42785.25963043224,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_39,27:517:04170:553035:0000:000000,27:517:04170:553033:0000:000000,18,male,False,53984.87523895585,"walk,pt,motorbike,taxi,auto_rickshaw",other,motorbike,40009.9496962183,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_40,27:518:99999:802794:1668:000000,27:518:99999:802794:1564:000000,20,male,False,11149.167252058669,"walk,pt,taxi,auto_rickshaw",other,walk,37424.67920442853,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_41,27:518:99999:802794:1352:000000,27:518:99999:802794:2385:000000,29,male,True,59987.848368019186,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,35540.124440852866,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_42,27:518:99999:802794:1460:000000,27:518:99999:802794:1353:000000,12,male,False,136891.28330575197,"walk,pt",education,pt,29931.80057634289,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_43,27:520:04173:553514:0001:000000,27:520:04173:553513:0001:000000,51,female,False,12696.983162869963,"walk,pt,motorbike,taxi,auto_rickshaw",other,pt,38523.4746320817,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_44,27:518:99999:802794:2080:000000,27:517:04170:553033:0000:000000,33,female,True,84163.24350866218,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,32742.963697381354,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_45,27:517:04168:552989:0000:000000,27:517:04168:552991:0000:000000,6,female,False,20276.738493076173,"walk,pt",education,pt,25920.60652254364,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_46,27:518:99999:802794:2179:000000,27:518:99999:802794:1977:000000,22,male,False,15096.939733286797,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42387.37601658379,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_47,27:518:99999:802794:2080:000000,27:518:99999:802794:2080:000000,0,female,False,21285.80318343436,"walk,pt,ride",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_48,27:518:99999:802794:1256:000000,27:518:99999:802794:1255:000000,51,female,False,16815.22689982964,"walk,pt,taxi,auto_rickshaw",other,walk,36116.960049032896,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_49,27:519:99999:802794:0103:000000,27:519:99999:802794:0732:000000,34,male,True,49779.09170668557,"walk,pt,bike,taxi,auto_rickshaw",work,auto_rickshaw,32154.01268264968,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_50,27:518:99999:802794:2080:000000,27:518:99999:802794:2281:000000,41,male,False,40927.87923221061,"walk,pt,car,motorbike,taxi,ride,auto_rickshaw",other,motorbike,38594.27457837741,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_51,27:518:99999:802794:1256:000000,27:518:99999:802794:1562:000000,7,male,False,108874.51080907809,"walk,pt,bike",education,walk,26787.048148075253,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_52,27:518:99999:802794:1565:000000,27:518:99999:802794:1565:000000,34,male,False,14565.838372620381,"walk,pt,taxi,auto_rickshaw",other,walk,38568.826441479716,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_53,27:519:99999:802794:0421:000000,27:519:99999:802794:0837:000000,51,male,False,48065.98932399612,"walk,pt,car,taxi,ride,auto_rickshaw",other,ride,37672.003504659944,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_54,27:518:99999:802794:1978:000000,27:518:99999:802794:1978:000000,5,female,False,50218.972892857295,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_55,27:519:99999:802794:0103:000000,27:519:99999:802794:0838:000000,61,male,False,64317.41743477833,"walk,pt,motorbike,taxi,auto_rickshaw",other,pt,41666.96672560802,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_56,27:518:99999:802794:1255:000000,27:518:99999:802794:1353:000000,38,male,False,20082.682845448555,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,39125.34641449344,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_57,27:519:99999:802794:0933:000000,27:519:99999:802794:0933:000000,93,male,False,80844.36262820338,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42815.38866050597,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_58,27:520:04175:553804:0000:000000,27:520:04179:554328:0000:000000,57,female,True,106420.16334303116,"walk,pt,motorbike,taxi,auto_rickshaw",work,pt,28919.389962692178,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_59,27:518:99999:802794:1874:000000,27:518:99999:802794:1459:000000,70,male,False,44464.57843702593,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,38306.79105360795,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_60,27:518:99999:802794:2281:000000,27:518:99999:802794:2080:000000,38,male,True,37192.961407114795,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,31240.026660722913,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_61,27:518:99999:802794:1975:000000,27:518:99999:802794:1147:000000,13,male,False,31036.610560976995,"walk,pt",education,pt,29952.749526447136,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_62,27:518:99999:802794:2283:000000,27:518:99999:802794:2384:000000,15,male,False,75214.23531756681,"walk,pt",education,pt,27802.714949462425,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_63,27:517:04168:552985:0000:000000,27:517:04166:552672:0000:000000,17,male,False,23517.423141981773,"walk,pt",education,walk,28099.25317254886,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_64,27:520:04173:553514:0001:000000,27:518:99999:802794:1460:000000,26,female,True,13661.14848355874,"walk,pt,bike,motorbike,taxi,auto_rickshaw",work,walk,32001.52500655648,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_65,27:518:99999:802794:1141:000000,27:518:99999:802794:1048:000000,27,male,True,30633.74480655125,"walk,pt,taxi,auto_rickshaw",work,taxi,31252.428831535166,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_66,27:517:04163:552312:0000:000000,27:518:99999:802794:1562:000000,35,male,True,43863.65856568556,"walk,pt,motorbike,taxi,auto_rickshaw",work,motorbike,35004.901746880736,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_67,27:518:99999:802794:1978:000000,27:519:99999:802794:0732:000000,27,female,True,14827.852176529277,"walk,pt,motorbike,taxi,auto_rickshaw",work,auto_rickshaw,31577.08150772532,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_68,27:518:99999:802794:1249:000000,27:519:99999:802794:0933:000000,48,male,True,52416.87042775033,"walk,pt,taxi,auto_rickshaw",work,taxi,34478.85313760812,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_69,27:518:99999:802794:1668:000000,27:517:04166:552678:0001:000000,25,female,True,29926.15107428888,"walk,pt,car,taxi,ride,auto_rickshaw",work,pt,34758.94761239594,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_70,27:520:04177:554203:0001:000000,27:520:04177:554088:0000:000000,24,male,True,32568.225672311968,"walk,pt,taxi,auto_rickshaw",work,pt,29238.590096691187,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_71,27:517:04158:551629:0000:000000,27:517:04158:551630:0000:000000,28,female,True,64050.63843319903,"walk,pt,taxi,auto_rickshaw",work,pt,31730.431620169507,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_72,27:518:99999:802794:1772:000000,27:518:99999:802794:1769:000000,58,female,True,76736.45414878584,"walk,pt,taxi,auto_rickshaw",work,walk,29390.253308257466,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_73,27:518:99999:802794:2384:000000,27:518:99999:802794:2283:000000,70,female,False,41278.36326069663,"walk,pt,motorbike,taxi,auto_rickshaw",other,auto_rickshaw,41766.736262712606,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_74,27:520:04186:555174:0000:000000,27:520:04185:555070:0000:000000,55,female,True,31020.01416897076,"walk,pt,taxi,auto_rickshaw",work,pt,35944.4980410505,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_75,27:519:99999:802794:0630:000000,27:518:99999:802794:1043:000000,10,male,False,34644.61686896927,"walk,pt",education,walk,30250.029661620603,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_76,27:519:99999:802794:0629:000000,27:519:99999:802794:0101:000000,56,female,True,13192.31361715474,"walk,pt,car,motorbike,taxi,ride,auto_rickshaw",work,pt,30729.75682189482,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_77,27:519:99999:802794:0835:000000,27:518:99999:802794:1142:000000,38,female,True,13150.544476089151,"walk,pt,taxi,auto_rickshaw",work,walk,31167.866302453214,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_78,27:518:99999:802794:1351:000000,27:518:99999:802794:1357:000000,6,male,False,27033.786937649522,"walk,pt",education,walk,28169.25807021313,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_79,27:518:99999:802794:1667:000000,27:518:99999:802794:1668:000000,66,male,False,29617.69738696647,"walk,pt,bike,taxi,auto_rickshaw",other,walk,42303.39667150359,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_80,27:519:99999:802794:0732:000000,27:518:99999:802794:1249:000000,38,male,False,27493.91978105032,"walk,pt,car,bike,taxi,ride,auto_rickshaw",other,auto_rickshaw,42395.04541416173,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_81,27:518:99999:802794:1772:000000,27:518:99999:802794:1769:000000,30,male,False,25271.637412016786,"walk,pt,car,motorbike,taxi,ride,auto_rickshaw",other,ride,40222.665790310406,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_82,27:520:04184:554944:0000:000000,27:520:04181:554727:0000:000000,12,male,False,18971.69861306532,"walk,pt,bike",education,pt,30079.3903792154,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_83,27:519:99999:802794:0311:000000,27:520:04173:553445:0000:000000,27,male,True,8823.916080231746,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,30802.252827041768,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_84,27:517:04160:551906:0000:000000,27:517:04160:551896:0000:000000,11,male,False,60324.49574446711,"walk,pt",education,walk,25821.680949259942,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_85,27:517:04161:551955:0000:000000,27:517:04160:551920:0000:000000,41,male,True,39258.25848905151,"walk,pt,car,motorbike,taxi,ride,auto_rickshaw",work,ride,33443.18623207308,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_86,27:518:99999:802794:1352:000000,27:518:99999:802794:1357:000000,9,male,False,11946.44106682914,"walk,pt,bike",education,walk,32114.9272855604,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_87,27:518:99999:802794:1667:000000,27:518:99999:802794:1873:000000,25,female,False,47809.190110977666,"walk,pt,taxi,auto_rickshaw",other,pt,40413.868073508405,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_88,27:518:99999:802794:1870:000000,27:518:99999:802794:2385:000000,35,male,True,33392.24742099563,"walk,pt,taxi,auto_rickshaw",work,walk,35845.760377640836,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_89,27:517:04158:551692:0000:000000,27:517:04163:552367:0000:000000,25,female,True,24006.964287839597,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,31656.407684518526,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_90,27:517:04167:552912:0000:000000,27:517:04167:552909:0000:000000,73,female,False,77268.05340370654,"walk,pt,bike,taxi,auto_rickshaw",other,taxi,41823.4220871348,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_91,27:520:04183:554815:0000:000000,27:520:04183:554822:0000:000000,37,male,True,10156.795050974872,"walk,pt,bike,taxi,auto_rickshaw",work,pt,31712.491794532903,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_92,27:518:99999:802794:1256:000000,27:518:99999:802794:1978:000000,51,male,False,18588.211304517583,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,38208.48906294474,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_93,27:519:99999:802794:0418:000000,27:518:99999:802794:1139:000000,29,female,False,77617.18268793629,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42348.44169584735,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_94,27:518:99999:802794:1043:000000,27:518:99999:802794:2179:000000,31,female,False,24414.8273240083,"walk,pt,motorbike,taxi,auto_rickshaw",other,pt,40804.01363065449,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_95,27:517:04167:552834:0000:000000,27:517:04167:552835:0000:000000,20,male,False,21690.659578244253,"walk,pt,taxi,auto_rickshaw",other,taxi,37636.17592613351,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_96,27:518:99999:802794:1975:000000,27:518:99999:802794:1255:000000,46,female,True,51884.98070106342,"walk,pt,taxi,auto_rickshaw",work,pt,31333.807923860342,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_97,27:518:99999:802794:1564:000000,27:518:99999:802794:1873:000000,36,male,False,41352.19616211623,"walk,pt,bike,motorbike,taxi,auto_rickshaw",other,auto_rickshaw,42218.35513728769,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_98,27:518:99999:802794:2284:000000,27:518:99999:802794:1256:000000,11,male,False,39403.37163296848,"walk,pt",education,pt,30415.054752687603,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_99,27:518:99999:802794:2080:000000,27:519:99999:802794:0732:000000,31,male,True,14310.344729815146,"walk,pt,bike,taxi,auto_rickshaw",work,walk,32063.965627593236,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_100,27:517:04168:552985:0000:000000,27:518:99999:802794:1978:000000,31,male,True,31390.631011885245,"walk,pt,bike,taxi,auto_rickshaw",work,auto_rickshaw,29356.215444740697,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_101,27:517:04158:551700:0000:000000,27:517:04158:551669:0000:000000,40,female,True,61801.012885045784,"walk,pt,taxi,auto_rickshaw",work,pt,29255.550455033335,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_102,27:518:99999:802794:1256:000000,27:518:99999:802794:1978:000000,32,female,True,21015.092520625258,"walk,pt,taxi,auto_rickshaw",work,taxi,29629.036826657266,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_103,27:518:99999:802794:1565:000000,27:518:99999:802794:1874:000000,36,male,False,46392.94202144617,"walk,pt,taxi,auto_rickshaw",other,taxi,41993.79054144547,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_104,27:518:99999:802794:1870:000000,27:518:99999:802794:1874:000000,25,female,False,36300.71162432157,"walk,pt,taxi,auto_rickshaw",other,taxi,38261.65084752237,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_105,27:518:99999:802794:1769:000000,27:518:99999:802794:1667:000000,66,female,False,28805.970325173777,"walk,pt,taxi,auto_rickshaw",other,walk,38821.19326594736,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_106,27:518:99999:802794:1978:000000,27:518:99999:802794:1978:000000,3,female,False,67856.38683495988,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_107,27:519:99999:802794:0629:000000,27:519:99999:802794:0629:000000,41,male,True,144782.5329370835,"walk,pt,taxi,auto_rickshaw",work,walk,32844.80468007996,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_108,27:518:99999:802794:2080:000000,27:518:99999:802794:1043:000000,16,male,False,15039.714946705682,"walk,pt",education,walk,32146.846494027486,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_109,27:517:04163:552343:0000:000000,27:517:04163:552351:0000:000000,71,female,False,28626.316982678443,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42932.49828828559,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_110,27:519:99999:802794:0836:000000,27:519:99999:802794:0421:000000,26,male,True,18485.827249979506,"walk,pt,taxi,auto_rickshaw",work,taxi,32565.078351928893,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_111,27:518:99999:802794:1978:000000,27:518:99999:802794:1459:000000,49,male,False,27132.21168344437,"walk,pt,taxi,auto_rickshaw",other,taxi,38774.38888907042,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_112,27:518:99999:802794:1255:000000,27:519:99999:802794:0933:000000,17,male,False,32554.961530183075,"walk,pt,ride",education,ride,27703.314037154905,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_113,27:518:99999:802794:1460:000000,27:518:99999:802794:1769:000000,30,male,False,15130.842169793068,"walk,pt,taxi,auto_rickshaw",other,walk,42883.16690933558,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_114,27:518:99999:802794:1352:000000,27:518:99999:802794:1255:000000,22,male,False,171240.84377750213,"walk,pt,taxi,auto_rickshaw",other,pt,42182.64693915652,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_115,27:518:99999:802794:2487:000000,27:518:99999:802794:1147:000000,43,male,False,11683.04994780762,"walk,pt,taxi,ride,auto_rickshaw",other,pt,40745.04567339693,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_116,27:518:99999:802794:1668:000000,27:518:99999:802794:1769:000000,18,male,False,24598.079429815214,"walk,pt,taxi,auto_rickshaw",other,taxi,43036.58482411699,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_117,27:518:99999:802794:1255:000000,27:518:99999:802794:1256:000000,12,female,False,14588.765645058404,"walk,pt",education,pt,28558.320842751506,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_118,27:520:04181:554586:0000:000000,27:520:04181:554554:0000:000000,67,female,False,18206.759902007267,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,42794.19271346794,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_119,27:518:99999:802794:2282:000000,27:518:99999:802794:2385:000000,47,male,True,122532.44376972744,"walk,pt,bike,taxi,auto_rickshaw",work,pt,33850.14245258525,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_120,27:518:99999:802794:2283:000000,27:518:99999:802794:1975:000000,15,female,False,10154.378252883764,"walk,pt",education,walk,30104.453819384195,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_121,27:517:04158:551585:0000:000000,27:517:04158:551585:0000:000000,5,male,False,41164.82210054269,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_122,27:518:99999:802794:1978:000000,27:518:99999:802794:2281:000000,32,female,False,47526.131381154795,"walk,pt,taxi,auto_rickshaw",other,pt,39777.88547234132,3600,synthetic_from_historical_marginals_and_provisional_assumptions
