person_id,tour_index,purpose,location_id,destination_geography_id,x_m,y_m,duration_s,initial_mode,source,destination_source
baseline_15,1,leisure,osm_node_9053836742,27:520:04183:554868:0000:000000,290936.5843885913,1990608.5399771708,4560,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_15,2,social,census_27:520:04181:554590:0000:000000,27:520:04181:554590:0000:000000,314593.86702209146,2025335.8364694174,3420,pt,synthetic_provisional_activity,historical_population_location_proxy
baseline_17,0,work,osm_way_986768782,,290940.3647226483,2102460.419519998,28800,taxi,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_18,0,work,osm_node_6169848885,,312164.9900766986,2050954.8655258531,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_19,0,work,osm_node_11257204477,27:518:99999:802794:2281:000000,280088.2562877115,2111229.2855771747,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_19,1,shopping,osm_node_10213974869,27:518:99999:802794:1561:000000,266953.8101356154,2119880.3349117576,4380,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_20,0,education,census_27:520:04173:553514:0001:000000,27:520:04173:553514:0001:000000,300810.67795636546,2105119.102040299,21600,bike,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_21,0,shopping,osm_node_2403386465,27:518:99999:802794:1668:000000,275787.4885004093,2125638.5428647012,4380,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_21,1,leisure,osm_way_1458864171,,285479.18224749726,2124853.2273306996,5460,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_22,0,work,osm_node_13516940282,27:518:99999:802794:1352:000000,272004.6383104074,2117174.979451386,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_22,1,shopping,osm_node_6805962687,27:518:99999:802794:1978:000000,279645.9108388972,2115282.482078259,4380,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_23,0,shopping,osm_node_13947295385,27:517:04168:553000:0000:000000,301819.4880918694,2120674.762674064,4320,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_25,0,education,osm_way_1014517842,27:518:99999:802794:1255:000000,275105.21368686436,2113862.3343661698,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_27,0,work,osm_way_315510913,27:518:99999:802794:2179:000000,278649.63132994785,2109012.4777015704,28800,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_27,1,social,census_27:518:99999:802794:2080:000000,27:518:99999:802794:2080:000000,281829.4850095999,2108758.9792374205,3390,taxi,synthetic_provisional_activity,historical_population_location_proxy
baseline_28,0,social,osm_way_27056471,27:518:99999:802794:1255:000000,275121.3068129105,2116000.892114551,3450,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_29,0,work,osm_node_11445795321,27:518:99999:802794:1255:000000,277480.65610973176,2113976.3723668945,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_30,0,work,census_27:518:99999:802794:1352:000000,27:518:99999:802794:1352:000000,272150.07762723265,2116930.251067398,28800,auto_rickshaw,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_30,1,shopping,osm_node_13589522506,27:518:99999:802794:1352:000000,271275.8159784889,2117942.6671130545,1425,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_31,0,social,osm_node_13006742689,27:517:04163:552262:0000:000000,261245.8769689287,2174008.7906028153,3420,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_32,0,social,osm_node_12843656849,27:519:99999:802794:0312:000000,271628.6655939447,2097118.6072981032,3930,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_33,0,work,osm_node_13589455219,27:518:99999:802794:1352:000000,271129.2988252239,2118186.2151525933,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_33,1,leisure,osm_way_925230216,27:518:99999:802794:1459:000000,275314.22225593904,2121096.2605601633,5670,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_34,0,education,osm_way_493488600,,318808.0024294123,2017221.6460290789,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_35,0,work,osm_node_13572379124,27:518:99999:802794:1352:000000,271692.2496356404,2117917.466786098,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_35,1,leisure,osm_way_973040163,,287474.6075672698,2122070.7556706863,5670,ride,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_38,0,social,census_27:517:04171:553103:0000:000000,27:517:04171:553103:0000:000000,328243.1595768146,2130795.9352643443,3420,pt,synthetic_provisional_activity,historical_population_location_proxy
baseline_40,0,leisure,census_27:518:99999:802794:1668:000000,27:518:99999:802794:1668:000000,276867.0761432982,2124383.8771319715,5670,pt,synthetic_provisional_activity,historical_population_location_proxy
baseline_41,0,work,osm_node_13589562913,27:518:99999:802794:1352:000000,271330.55179977976,2117831.256038134,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_42,0,education,osm_node_1347702321,27:518:99999:802794:1562:000000,273720.2220525641,2123527.037533574,21600,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_44,0,work,osm_way_1420982492,27:518:99999:802794:1045:000000,272121.4922752048,2108496.6972009456,28800,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_44,1,shopping,osm_node_2930708409,27:518:99999:802794:2080:000000,281627.6259302275,2108967.839845117,4380,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_45,0,education,osm_way_1020243075,27:517:04168:552980:0000:000000,299019.48188464966,2125030.5147060445,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_48,0,social,census_27:518:99999:802794:1772:000000,27:518:99999:802794:1772:000000,275023.9470142558,2127238.8522945475,3390,taxi,synthetic_provisional_activity,historical_population_location_proxy
baseline_49,0,work,census_27:519:99999:802794:0732:000000,27:519:99999:802794:0732:000000,275615.35843276,2105475.528990775,28800,auto_rickshaw,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_49,1,social,osm_way_146468968,27:519:99999:802794:0310:000000,271552.162178157,2097665.017771246,3450,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_49,2,shopping,osm_way_1344478809,27:519:99999:802794:0102:000000,271222.57051343354,2093122.5942834148,1425,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_51,0,education,osm_way_1095176119,27:518:99999:802794:1459:000000,275788.71502160945,2121467.3682084586,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_55,0,shopping,osm_node_14051563684,27:519:99999:802794:0207:000000,271898.29421213496,2096581.268517148,1425,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_55,1,social,census_27:519:99999:802794:0311:000000,27:519:99999:802794:0311:000000,271263.83129730046,2097627.282593992,3450,walk,synthetic_provisional_activity,historical_population_location_proxy
baseline_57,0,social,osm_node_12185911180,27:518:99999:802794:1977:000000,276418.7354080828,2108166.3190961485,3450,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_58,0,work,osm_node_14100628925,27:519:99999:802794:0105:000000,271694.99491546623,2094929.8186330993,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_58,1,social,osm_node_8589563847,27:520:04175:553764:0000:000000,320993.1402892918,2080716.1004745706,3420,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_59,0,social,osm_way_1222540781,,279180.72676309687,2133598.121772412,3450,taxi,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_60,0,work,census_27:518:99999:802794:2080:000000,27:518:99999:802794:2080:000000,281829.4850095999,2108758.9792374205,28800,auto_rickshaw,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_61,0,education,osm_way_222784833,27:518:99999:802794:2079:000000,279040.9384834285,2109196.7882692916,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_62,0,education,osm_way_222338978,,279263.02974977373,2117536.666179288,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_63,0,education,osm_way_1020243075,27:517:04168:552980:0000:000000,299019.48188464966,2125030.5147060445,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_64,0,work,osm_way_353980776,,291259.7938278919,2108324.9959129216,28800,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_65,0,work,osm_node_2173092241,27:518:99999:802794:1144:000000,271611.7600871337,2109163.752213821,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_65,1,social,osm_way_353206096,27:519:99999:802794:0522:000000,272853.4133890093,2099475.067920343,3450,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_66,0,work,osm_way_1346181971,,265971.6723073334,2180614.459856311,28800,motorbike,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_67,0,work,census_27:519:99999:802794:0732:000000,27:519:99999:802794:0732:000000,275615.35843276,2105475.528990775,28800,auto_rickshaw,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_68,0,work,osm_node_10606387345,27:518:99999:802794:2385:000000,283804.36332717375,2119915.297235336,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_69,0,work,osm_node_4498884752,27:518:99999:802794:1565:000000,270929.66384995834,2124495.5588183245,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_69,1,shopping,osm_node_4407686295,27:518:99999:802794:1144:000000,271903.3608964742,2108982.3157212734,4380,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_69,2,social,census_27:518:99999:802794:1977:000000,27:518:99999:802794:1977:000000,276833.6403977731,2108716.4352670684,3390,walk,synthetic_provisional_activity,historical_population_location_proxy
baseline_70,0,work,osm_node_13470129574,27:519:99999:802794:0105:000000,271033.7827744657,2094891.302931408,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_70,1,social,census_27:520:04177:554203:0001:000000,27:520:04177:554203:0001:000000,287025.39159440045,2066615.5043313997,3450,taxi,synthetic_provisional_activity,historical_population_location_proxy
baseline_71,0,work,census_27:517:04158:551630:0000:000000,27:517:04158:551630:0000:000000,300673.5513321989,2221091.0090864887,28800,pt,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_71,1,shopping,osm_node_5316558322,,297017.1230464105,2226622.39790815,4320,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_71,2,social,census_27:517:04158:551621:0000:000000,27:517:04158:551621:0000:000000,282643.92860814836,2221146.356686764,3420,walk,synthetic_provisional_activity,historical_population_location_proxy
baseline_72,0,work,osm_node_6984909385,27:518:99999:802794:1870:000000,273301.04024794034,2128862.337859615,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_72,1,social,osm_way_1120053031,27:518:99999:802794:1870:000000,274471.5079338544,2128627.366175552,3390,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_72,2,leisure,osm_way_1396299796,,275391.47556330706,2133247.3388189394,5460,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_73,0,shopping,osm_way_353181487,27:518:99999:802794:1978:000000,276999.6805092086,2110987.2684276705,4380,motorbike,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_74,0,work,osm_way_1097433421,27:520:04186:555165:0000:000000,346395.5530218525,1993441.5954281755,28800,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_75,0,education,osm_way_236631074,27:519:99999:802794:0835:000000,272057.0174141268,2104143.369552052,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_76,0,work,osm_node_7069814052,27:519:99999:802794:0420:000000,269279.0316866251,2098222.7231094753,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_76,1,shopping,osm_node_12855849596,27:518:99999:802794:1144:000000,272202.17982861795,2109212.0169704133,4380,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_77,0,work,osm_node_2171341171,27:518:99999:802794:1141:000000,271550.0989328911,2109062.9664851543,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_77,1,leisure,osm_way_938406139,27:519:99999:802794:0421:000000,269945.45905331144,2099605.578958029,5460,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_77,2,shopping,osm_node_12926508558,27:518:99999:802794:1140:000000,271111.4086540127,2107499.5661284816,4380,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_78,0,education,osm_way_766804052,27:518:99999:802794:1352:000000,270769.3213909593,2117230.560874223,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_79,0,social,osm_node_11430465716,27:518:99999:802794:1668:000000,277124.0605033163,2125376.123981677,3450,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_82,0,education,osm_way_596039920,,319768.3280605914,2008035.305575512,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_83,0,work,osm_way_667169215,27:518:99999:802794:2487:000000,283091.1003639975,2120572.6831352906,28800,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_84,0,education,osm_node_9556151161,27:517:04160:551935:0000:000000,311044.45172268164,2195564.5132329897,21600,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_85,0,work,osm_way_250921801,,331172.6076247968,2166229.5411660396,28800,ride,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_86,0,education,census_27:518:99999:802794:1357:000000,27:518:99999:802794:1357:000000,272880.91383902496,2118102.0730250985,21600,walk,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_87,0,shopping,osm_node_12411907753,27:518:99999:802794:1352:000000,271078.30406948354,2118328.2415961293,4380,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_88,0,work,osm_node_7663833144,27:518:99999:802794:1460:000000,273880.8197501531,2121029.6135529918,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_89,0,work,osm_node_7048433647,,286276.5765733485,2122591.456529809,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_89,1,shopping,osm_node_2688192428,27:517:04158:551692:0000:000000,284358.9330997005,2202862.379088168,4320,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_91,0,work,osm_node_2168597659,27:519:99999:802794:0103:000000,272044.45780932053,2094622.4489900968,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_92,0,leisure,osm_node_13240728441,27:518:99999:802794:1353:000000,270842.7492005633,2116647.575146581,5670,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_93,0,shopping,osm_node_10682480405,27:519:99999:802794:0105:000000,271237.878997651,2095747.9764092644,4380,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_94,0,shopping,census_27:518:99999:802794:1352:000000,27:518:99999:802794:1352:000000,272150.07762723265,2116930.251067398,4380,motorbike,synthetic_provisional_activity,historical_population_location_proxy
baseline_96,0,work,osm_node_3366405792,27:519:99999:802794:0103:000000,271721.3183845652,2094319.967350554,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_96,1,social,osm_node_10221867617,27:518:99999:802794:1144:000000,271887.6056067947,2108991.335511082,3390,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_98,0,education,osm_way_622819448,27:518:99999:802794:2385:000000,281067.56845492206,2116754.0677442504,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_99,0,work,osm_way_353395884,27:519:99999:802794:0732:000000,275418.4889804319,2106508.4809401273,28800,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_100,0,work,osm_node_12784254799,27:518:99999:802794:1145:000000,273531.9626167194,2108814.713193624,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_101,0,work,osm_node_13481584442,,288655.7753146228,2127534.571703033,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_102,0,work,osm_node_7663833080,27:518:99999:802794:1459:000000,276226.5233679112,2121242.8806921626,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_102,1,shopping,osm_node_11283018660,27:519:99999:802794:0731:000000,273398.7094650258,2104154.0399901844,4380,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_104,0,shopping,osm_node_12381958981,27:518:99999:802794:1769:000000,271367.875592893,2127586.561446629,4380,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_104,1,social,census_27:518:99999:802794:1978:000000,27:518:99999:802794:1978:000000,278238.9955045299,2113444.001519714,3390,walk,synthetic_provisional_activity,historical_population_location_proxy
baseline_107,0,work,osm_node_12770204878,27:519:99999:802794:0731:000000,274311.5845014207,2105263.660008946,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_108,0,education,osm_node_4529961390,27:518:99999:802794:1249:000000,273231.17012510507,2112437.367298595,21600,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_110,0,work,osm_node_13866698415,,289570.2960225687,2109982.376684485,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_111,0,leisure,osm_way_822774096,27:518:99999:802794:1256:000000,275345.0840230179,2116703.5329055293,5670,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_111,1,social,census_27:518:99999:802794:2385:000000,27:518:99999:802794:2385:000000,283309.58938556846,2117997.3953740587,3450,taxi,synthetic_provisional_activity,historical_population_location_proxy
baseline_112,0,education,osm_way_354602301,27:518:99999:802794:2384:000000,283201.97419443366,2115224.7164817033,21600,ride,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_113,0,leisure,osm_way_628790467,27:518:99999:802794:1256:000000,275408.62630577554,2116290.376718764,5670,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_117,0,education,osm_way_346412155,27:518:99999:802794:2179:000000,279752.92359227175,2108297.240620086,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_118,0,social,census_27:520:04181:554621:0000:000000,27:520:04181:554621:0000:000000,313910.13141035766,2024455.8283517517,3420,taxi,synthetic_provisional_activity,historical_population_location_proxy
baseline_119,0,work,osm_node_13304809922,27:518:99999:802794:1667:000000,273196.38437849365,2124981.8745589973,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_120,0,education,osm_way_436220560,27:518:99999:802794:2384:000000,281981.97144228796,2113350.501747944,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_123,0,leisure,osm_way_405691079,,303097.8308942254,2100756.622259885,5160,taxi,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_123,1,social,osm_way_554243338,,301207.4414161495,2100957.0286421673,3930,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_124,0,leisure,osm_way_1330474699,27:518:99999:802794:1352:000000,272285.6689205385,2114431.7344254847,5670,taxi,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_124,1,shopping,osm_node_12307075677,,291628.45901484054,2106221.5383253573,1425,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_126,0,work,osm_node_6813997795,,286284.3234926448,2126730.9320480986,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_127,0,work,census_27:519:99999:802794:0418:000000,27:519:99999:802794:0418:000000,270654.6347813795,2097088.1027438361,28800,taxi,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_129,0,leisure,osm_node_8847825117,27:518:99999:802794:1668:000000,276689.21860515885,2124315.768976195,5460,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_129,1,shopping,osm_node_3243945331,27:518:99999:802794:1870:000000,274174.2828942911,2129185.402963609,4380,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_130,0,work,osm_node_7052505337,27:517:04165:552450:0000:000000,290857.33413355204,2109029.0125674806,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_130,1,shopping,osm_node_11726936462,27:520:04173:553514:0001:000000,300282.8091106633,2103423.8624934694,4320,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_131,0,education,osm_way_1229206119,27:517:04163:552239:0000:000000,274597.6419864717,2189236.905654231,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_133,0,shopping,osm_node_2397222654,27:518:99999:802794:1460:000000,272331.3417266294,2121180.3622312155,1425,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_133,1,social,osm_way_196510718,27:518:99999:802794:1353:000000,270016.00031107763,2117549.0460448875,3450,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_134,0,work,osm_node_9935438376,27:518:99999:802794:1143:000000,272254.31058122474,2109721.486211958,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_135,0,education,census_27:517:04168:553006:0001:000000,27:517:04168:553006:0001:000000,308218.0511430899,2129151.6830679774,21600,walk,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_137,0,work,osm_node_7656428196,,264776.7532844,2190536.441300157,28800,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_137,1,social,osm_way_1511147627,,266238.17715055647,2179479.926442215,3930,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_138,0,education,osm_way_131957113,27:518:99999:802794:2281:000000,280453.69804458926,2111424.9053956755,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_139,0,work,census_27:518:99999:802794:1460:000000,27:518:99999:802794:1460:000000,272083.9891974064,2120109.129958732,28800,auto_rickshaw,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_140,0,work,osm_node_7054327917,27:518:99999:802794:1255:000000,273635.8332724365,2115128.3730766876,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_140,1,leisure,osm_node_11580475271,27:518:99999:802794:1978:000000,277745.1661603087,2112978.4591773176,5460,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_141,0,shopping,osm_node_6979014985,27:518:99999:802794:1144:000000,272048.5980955373,2109459.032558393,1425,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_142,0,shopping,osm_node_2681804426,27:517:04157:551571:0000:000000,282066.6798242871,2226531.5844288096,4320,pt,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_143,0,education,osm_way_253155154,27:520:04182:554759:0000:000000,304124.87187741406,2024137.2062340635,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_144,0,social,census_27:520:04182:554738:0000:000000,27:520:04182:554738:0000:000000,303701.617693814,2029618.7928949776,3930,pt,synthetic_provisional_activity,historical_population_location_proxy
baseline_144,1,leisure,osm_way_1175009215,27:520:04183:554814:0000:000000,286815.69610685733,2012619.6330268818,5160,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_145,0,work,osm_node_14051510862,27:519:99999:802794:0207:000000,271909.47207143996,2096522.888968149,28800,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_148,0,work,census_27:518:99999:802794:2080:000000,27:518:99999:802794:2080:000000,281829.4850095999,2108758.9792374205,28800,pt,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_148,1,social,osm_way_357082953,27:519:99999:802794:0732:000000,274814.6727771654,2105991.4060736666,3450,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_149,0,work,osm_way_979583328,27:519:99999:802794:0935:000000,272150.9355320318,2103060.758637001,28800,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_149,1,shopping,osm_node_13664329501,27:517:04168:552980:0000:000000,298412.653084651,2127064.7491083485,4380,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_151,0,work,census_27:518:99999:802794:1352:000000,27:518:99999:802794:1352:000000,272150.07762723265,2116930.251067398,28800,walk,synthetic_provisional_activity,unchanged_primary_zone_proxy
baseline_152,0,leisure,osm_node_2189763326,27:518:99999:802794:1352:000000,272519.5664026903,2116791.3564540246,5670,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_153,0,leisure,osm_way_800445133,27:518:99999:802794:1352:000000,272345.4124810549,2115601.38524039,5670,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_154,0,work,census_27:519:99999:802794:0103:000000,27:519:99999:802794:0103:000000,271313.4559968425,2094195.238757235,28800,taxi,synthetic_provisional_activity,unchanged_primary_zone_proxy
