from_station_key,to_station_key,timetable_service_count,from_native_boarding_nodes,to_native_boarding_nodes,shared_undirected_components,status,validation_scope
CR_THB_CODE:KHAG,CR_THB_CODE:MANR,176,"[""7818064487"",""7818064488""]","[""7818067423"",""7818067424""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:KNDS,CR_THB_CODE:MANR,172,"[""7818098638"",""7818098639""]","[""7818067423"",""7818067424""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:KNDS,CR_THB_CODE:PNVL,176,"[""7818098638"",""7818098639""]","[""5764016983"",""7510862052"",""7510862053"",""7510862054"",""7726859290"",""7726859291"",""7726859292""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:KPHN,CR_THB_CODE:GNSL,131,"[""7818118169"",""7818118170""]","[""7818209607"",""7818209608""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:KPHN,CR_THB_CODE:TUH,131,"[""7818118169"",""7818118170""]","[""7818206407"",""7818206408"",""7818206409"",""7818206410""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:MANR,CR_THB_CODE:KHAG,172,"[""7818067423"",""7818067424""]","[""7818064487"",""7818064488""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:MANR,CR_THB_CODE:KNDS,176,"[""7818067423"",""7818067424""]","[""7818098638"",""7818098639""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:NEU,CR_HB_LABEL:juinagar,175,"[""7818050098"",""7818050099"",""7818050100"",""7818050101"",""7818050102"",""7818050103""]","[""7817978920"",""7817978921"",""7817978922"",""7817978923""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:NEU,CR_THB_CODE:JNJ,71,"[""7818050098"",""7818050099"",""7818050100"",""7818050101"",""7818050102"",""7818050103""]","[""7817978920"",""7817978921"",""7817978922"",""7817978923""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:NEU,CR_THB_CODE:SWDV,213,"[""7818050098"",""7818050099"",""7818050100"",""7818050101"",""7818050102"",""7818050103""]","[""7818030804"",""7818030805"",""7818030806"",""7818030807""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:PNVL,CR_THB_CODE:KNDS,172,"[""5764016983"",""7510862052"",""7510862053"",""7510862054"",""7726859290"",""7726859291"",""7726859292""]","[""7818098638"",""7818098639""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:RABE,CR_THB_CODE:AIRL,131,"[""7818144558"",""7818144559""]","[""7818210885"",""7818210886""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:RABE,CR_THB_CODE:GNSL,131,"[""7818144558"",""7818144559""]","[""7818209607"",""7818209608""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:SNPD,CR_THB_CODE:TUH,60,"[""1990668445"",""1990672673"",""4822210969"",""7818022403""]","[""7818206407"",""7818206408"",""7818206409"",""7818206410""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:SNPD,CR_THB_CODE:VSH,60,"[""1990668445"",""1990672673"",""4822210969"",""7818022403""]","[""241160689"",""4819972201"",""4822210993"",""4822211016""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:SWDV,CR_THB_CODE:BEPR,213,"[""7818030804"",""7818030805"",""7818030806"",""7818030807""]","[""7818124494"",""7818124495"",""7818124496"",""7818124497""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:SWDV,CR_THB_CODE:NEU,212,"[""7818030804"",""7818030805"",""7818030806"",""7818030807""]","[""7818050098"",""7818050099"",""7818050100"",""7818050101"",""7818050102"",""7818050103""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:TNA,CR_THB_CODE:DIGH,131,"[""630671870"",""630673338"",""1647133382"",""1647133389"",""1647133401"",""1647133407"",""1647133433"",""1647133443"",""1647133450"",""7817476530""]","[""13032197036"",""13032197037""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:TUH,CR_THB_CODE:JNJ,71,"[""7818206407"",""7818206408"",""7818206409"",""7818206410""]","[""7817978920"",""7817978921"",""7817978922"",""7817978923""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:TUH,CR_THB_CODE:KPHN,131,"[""7818206407"",""7818206408"",""7818206409"",""7818206410""]","[""7818118169"",""7818118170""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:TUH,CR_THB_CODE:SNPD,60,"[""7818206407"",""7818206408"",""7818206409"",""7818206410""]","[""1990668445"",""1990672673"",""4822210969"",""7818022403""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_THB_CODE:VSH,CR_THB_CODE:SNPD,60,"[""241160689"",""4819972201"",""4822210993"",""4822211016""]","[""1990668445"",""1990672673"",""4822210969"",""7818022403""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
