param_set_id,segment_id,segment_desc,purpose,vot_aud_hr,vot_sweep_low,vot_sweep_high,vot_source,beta_cost_per_aud,beta_transfer_penalty_min,beta_transfer_penalty_low,beta_transfer_penalty_high,beta_transfer_penalty_source,nesting_structure,beta_ivt,beta_ivt_low,beta_ivt_high,beta_ivt_source,beta_walk_access,beta_walk_access_low,beta_walk_access_high,beta_walk_access_source,beta_walk_egress,beta_walk_egress_low,beta_walk_egress_high,beta_walk_egress_source,beta_wait,beta_wait_low,beta_wait_high,beta_wait_source,beta_headway,beta_headway_low,beta_headway_high,beta_headway_source,beta_reliability,beta_reliability_low,beta_reliability_high,beta_reliability_source,beta_crowding_seated,beta_crowding_seated_low,beta_crowding_seated_high,beta_crowding_seated_source,beta_crowding_standing,beta_crowding_standing_low,beta_crowding_standing_high,beta_crowding_standing_source,asc_car_driver,asc_car_driver_source,asc_car_passenger,asc_car_passenger_source,asc_bus,asc_bus_source,asc_lr,asc_lr_source,asc_rail,asc_rail_source,asc_walk,asc_walk_source,asc_cycle,asc_cycle_source,source
C1_car_available_WB,car_available,household has >=1 vehicle and person holds a licence,WB,55.4,38.78,72.02,literature,1.083,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_available_NHB,car_available,household has >=1 vehicle and person holds a licence,NHB,15.2,10.64,19.76,literature,3.9474,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_HW,car_unavailable,no household vehicle or no licence,HW,13.95,13.02,24.18,literature,4.3011,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_HE,car_unavailable,no household vehicle or no licence,HE,6.98,6.51,12.09,literature,8.6022,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_HS,car_unavailable,no household vehicle or no licence,HS,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_HO,car_unavailable,no household vehicle or no licence,HO,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_WB,car_unavailable,no household vehicle or no licence,WB,41.55,38.78,72.02,literature,1.444,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_car_unavailable_NHB,car_unavailable,no household vehicle or no licence,NHB,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.3,1.5,2.5,literature,2.3,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_HW,concession,concession / senior / pensioner Opal holder,HW,13.95,13.02,24.18,literature,4.3011,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_HE,concession,concession / senior / pensioner Opal holder,HE,6.98,6.51,12.09,literature,8.6022,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_HS,concession,concession / senior / pensioner Opal holder,HS,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_HO,concession,concession / senior / pensioner Opal holder,HO,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_WB,concession,concession / senior / pensioner Opal holder,WB,41.55,38.78,72.02,literature,1.444,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_concession_NHB,concession,concession / senior / pensioner Opal holder,NHB,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_HW,student,full-time student,HW,13.95,13.02,24.18,literature,4.3011,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_HE,student,full-time student,HE,6.98,6.51,12.09,literature,8.6022,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_HS,student,full-time student,HS,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_HO,student,full-time student,HO,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_WB,student,full-time student,WB,41.55,38.78,72.02,literature,1.444,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
C1_student_NHB,student,full-time student,NHB,11.4,10.64,19.76,literature,5.2632,8.0,3.0,15.0,assumed,nested_logit,1.0,1.0,1.0,definition,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,2.0,1.5,2.5,literature,0.5,0.35,0.65,literature,1.3,0.8,1.8,literature,1.0,1.0,1.15,literature,1.45,1.2,1.8,literature,0.0,definition,-0.85,assumed,-1.05,assumed,-0.75,assumed,-0.65,assumed,0.35,assumed,-1.35,assumed,mixed
