line,date,weekday,paper_qr,mobile_application,whatsapp,ncmc_and_other_trip,total_ridership,channel_sum_equals_total,source,source_id,source_sha256,printed_line
Metro Lines 2A and 7,2024-01-18,True,134857,7744,0,94265,236866,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-19,True,135281,7621,0,89922,232824,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-20,False,135561,4859,0,55236,195656,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-21,False,105262,2514,0,17842,125618,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-22,True,90367,4805,0,56274,151446,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-23,True,126670,7688,0,94563,228921,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-24,True,130182,7994,0,94483,232659,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-25,True,136731,7735,0,88991,233457,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-26,True,94774,2513,0,19187,116474,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-27,False,123110,3840,0,41345,168295,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-28,False,100000,2587,0,16653,119240,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-29,True,129064,7759,0,90857,227680,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-30,True,137061,8322,0,95141,240524,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-31,True,135624,8148,0,92828,236600,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-01,True,129334,7993,0,92190,229517,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-02,True,134217,7913,0,89188,231318,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-03,False,133086,4694,0,53081,190861,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-04,False,107216,2606,0,17375,127197,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-05,True,128012,8170,0,93114,229296,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-06,True,136451,7518,0,96284,240253,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-07,True,136858,8500,0,97298,242656,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-08,True,134093,8226,0,95128,237447,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-09,True,133530,7811,0,89971,231312,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-10,False,133711,4665,0,45695,184071,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-11,False,108382,2586,0,17763,128731,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-12,True,133051,7984,0,93295,234330,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-13,True,137707,8385,0,95073,241165,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-14,True,139163,8214,0,94305,241682,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-15,True,131350,8110,0,93852,233312,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-16,True,133079,7776,0,89823,230678,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-17,False,136931,4214,0,53212,194357,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-18,False,110498,1485,0,17944,129927,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-19,True,117585,6880,0,77354,201819,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-20,True,127253,8329,0,96534,232116,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-21,True,135326,8375,0,97014,240715,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-22,True,131306,8095,0,94700,234101,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-23,True,136163,7657,0,90082,233902,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-24,False,128949,4495,0,45679,179123,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-25,False,97583,2556,0,17724,117863,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-26,True,127775,7822,0,92491,228088,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-27,True,130012,8335,0,96279,234626,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-28,True,127815,7183,0,94948,229946,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-02-29,True,129709,7594,0,93721,231024,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-01,True,125630,6825,0,88709,221164,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-02,False,130909,4575,0,54064,189548,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-03,False,105683,2671,0,18067,126421,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-04,True,129286,8010,0,94558,231854,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-05,True,128051,8040,0,97509,233600,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-06,True,131760,8041,0,97512,237313,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-07,True,133383,8002,0,94093,235478,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-08,True,106384,5667,0,64758,176809,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-09,False,127626,4284,0,45391,177301,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-10,False,99079,2576,0,17948,119603,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-11,True,124664,7665,0,94802,227131,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-12,True,125284,8099,0,97704,231087,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-13,True,128349,7713,0,97560,233622,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-14,True,125263,7845,0,95543,228651,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-15,True,129384,7402,0,91369,228155,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-16,False,128854,4916,0,54346,188116,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-17,False,101949,2561,0,18737,123247,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-18,True,124700,7638,0,95349,227687,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-19,True,125662,7970,0,96983,230615,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-20,True,130162,8066,0,96619,234847,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-21,True,127571,7179,0,94403,229153,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-22,True,130914,5947,0,88012,224873,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-23,False,119665,3228,0,45886,168779,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-24,False,78482,1601,0,16258,96341,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-25,True,53201,1033,0,8228,62462,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-26,True,123640,5743,0,89208,218591,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-27,True,124697,7031,0,91573,223301,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-28,True,127308,6427,0,90321,224056,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-29,True,110915,4664,0,59857,175436,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-30,False,124561,3777,0,53892,182230,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-03-31,False,94200,2023,0,19973,116196,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-01,True,123888,5352,0,90228,219468,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-02,True,125305,5982,0,95557,226844,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-03,True,126981,6602,0,96119,229702,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-04,True,126816,6464,0,93935,227215,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-05,True,130358,6313,0,89936,226607,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-06,False,130954,3896,0,54364,189214,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-07,False,99338,1967,0,17887,119192,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-08,True,128692,6282,0,92235,227209,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-09,True,101997,3255,0,42588,147840,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-10,True,128584,6237,0,93490,228311,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-11,True,119837,3864,0,58386,182087,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-12,True,143883,6421,0,87192,237496,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-13,False,131374,4060,0,44192,179626,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-14,False,105051,1769,0,17461,124281,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-15,True,129040,7342,0,93211,229593,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-16,True,132279,7682,0,94308,234269,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-17,True,117633,6661,0,77012,201306,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-18,True,130549,7473,0,92492,230514,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-19,True,127883,7046,0,88311,223240,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-20,False,128026,4515,0,51564,184105,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-21,False,106257,2559,0,17763,126579,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-04-22,True,124916,7617,0,90720,223253,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
